ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 6,EMG7L,0,-2,1,1,-1,1,-36,-53,39,-18,-37,31,4,-11,17,25,-40,-5,-5,-11,3,-13,-21,-2,17,8,-9,-8,-38,-2,-8,0,-12,-1,-1,1,0,0,1,2,2,0,-1,-2,0,-2
Action 6,EMG0R,0,-1,0,-1,1,-2,-7,12,8,9,31,12,3,12,12,-22,12,-3,29,-7,-25,-7,-1,8,-3,1,-13,-14,-5,-4,17,10,-24,3,0,0,0,0,0,-2,0,1,2,-2,0,-3
Action 6,EMG1R,-1,2,2,1,1,-5,20,55,27,3,2,-36,-21,14,-9,3,11,-3,-3,-6,-2,-4,6,-7,-2,4,0,-5,-1,-11,5,-4,-1,3,2,-4,-4,-2,-2,-3,-1,-1,0,3,-1,-3
Action 6,EMG2R,-2,1,-1,-2,-1,-12,32,52,-15,-7,-5,20,6,9,-5,-2,3,-3,-5,3,-2,0,3,-3,-1,1,-2,-3,-2,5,3,-1,-1,-2,-1,-20,-3,2,1,-1,-1,1,-1,0,-2,-1
Action 6,EMG3R,-1,0,-3,-2,-2,-5,8,71,-17,-28,-24,19,-9,1,-3,-4,2,0,-1,1,-3,-1,2,-6,1,4,0,-2,3,6,1,-1,-3,-2,-4,0,-1,-2,2,0,-2,0,-1,1,0,-3
Action 6,EMG4R,-1,-2,-3,-1,0,-1,-3,-11,-1,-2,-5,-1,-1,-4,1,-1,-3,0,0,0,2,-1,0,-1,0,-1,-1,0,-3,3,0,-3,1,-2,-3,-1,-1,0,1,0,-3,2,0,0,-1,-2
Action 6,EMG5R,-1,-1,-2,-3,-3,-2,-9,3,-4,3,19,14,7,1,3,-1,3,2,-1,1,-1,-2,0,-1,0,0,-3,-1,-2,2,4,-2,-6,4,-1,2,-1,0,-2,-8,-1,3,3,-1,-4,0
Action 6,EMG6R,-5,-1,-3,-2,-2,0,-13,4,17,17,9,7,6,2,-27,8,11,-3,2,-1,-3,2,0,4,-3,-2,0,-5,3,-15,5,-2,1,1,1,-1,0,1,0,-1,0,-1,0,1,-1,-2
Action 6,EMG7R,0,0,2,-3,-2,-10,-27,18,10,1,55,26,32,-22,20,7,2,-4,16,-4,-8,5,-2,1,-2,-11,2,-14,11,9,7,-2,-10,2,1,-2,0,-3,3,0,-2,-2,-2,0,-1,1
Action 6,GLX,1.0625,0.6875,-0.625,-5.0625,-7,7.5,-5.625,-76.125,-48.8125,25.0625,-52.4375,4.5,50.4375,12.8125,-13.1875,-15.75,2.25,3.6875,5.75,-3.8125,-0.125,-0.9375,2.625,5.875,3.125,0.8125,2,2.4375,0.625,-2.125,1,-1.8125,1.3125,6.625,11.9375,19.5,-3.9375,10.125,22.5625,25.0625,14.25,-1,3.5,-0.8125,-2.9375,-4.5625
