ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 66,ALX,0.8886719,0.9125977,0.9121094,0.9052734,0.9067383,0.8852539,0.9462891,1.025879,1.047852,0.7319336,0.1591797,-0.2250977,-0.5424805,-0.6347656,-0.6123047,-0.6845703,-0.7143555,-0.730957,-0.7597656,-0.7602539,-0.8027344,-0.7597656,-0.7016602,-0.4575195,-0.503418,0.6743164,0.7929688,0.2670898,0.3793945,0.4155273,0.3710938,0.4370117,0.4462891,0.4868164,0.5322266,0.6118164,0.7231445,0.894043,1.010742,1.026855,0.9741211,0.9648438,0.9418945,0.9399414,0.9042969,0
Action 66,ALY,0.2978516,0.3041992,0.300293,0.3105469,0.3222656,0.3305664,0.3237305,0.4155273,0.5952148,0.7578125,0.6762695,0.5722656,0.5444336,0.5522461,0.4301758,0.418457,0.3217773,0.3168945,0.359375,0.378418,0.4042969,0.5043945,0.6791992,0.7817383,0.5874023,0.7988281,0.9189453,0.6401367,0.6923828,0.6176758,0.6064453,0.5864258,0.6132813,0.5795898,0.4970703,0.5942383,0.4648438,0.4125977,0.3666992,0.2768555,0.2871094,0.2729492,0.262207,0.2856445,0.2856445,0
Action 66,ALZ,0.2548828,0.2617188,0.2495117,0.2514648,0.269043,0.3100586,0.3061523,0.4008789,0.7124023,0.8051758,0.7382813,0.6069336,0.637207,0.4677734,0.3071289,0.2143555,0.03515625,0.01660156,0.1318359,0.105957,0.2753906,0.3461914,0.5649414,0.6088867,0.4985352,0.9438477,1.032227,0.671875,0.7207031,0.6435547,0.6279297,0.5771484,0.5869141,0.5058594,0.5668945,0.5258789,0.4506836,0.3339844,0.2456055,0.1201172,0.1030273,0.1518555,0.1333008,0.1601563,0.1464844,0
Action 66,ARX,0.9604492,0.9541016,0.9619141,0.9526367,0.9521484,0.9663086,1.006348,0.9960938,0.9248047,0.8442383,0.9023438,0.9838867,0.9824219,0.9179688,0.8496094,0.8769531,0.9291992,0.9765625,0.7324219,0.3378906,0.05615234,-0.06005859,-0.1748047,-0.1704102,0.2670898,1.311523,0.28125,0.2983398,0.5488281,0.4677734,0.4716797,0.4638672,0.550293,0.5292969,0.6533203,0.7900391,0.8842773,1.03125,1.005371,1.004883,0.9956055,0.9750977,0.9736328,0.9433594,0.9462891,0
Action 66,ARY,-0.2563477,-0.2456055,-0.2661133,-0.2451172,-0.2719727,-0.2661133,-0.2880859,-0.2675781,-0.3012695,-0.2773438,-0.2788086,-0.2734375,-0.3286133,-0.3291016,-0.3203125,-0.3720703,-0.3701172,-0.5751953,-0.6289063,-0.7084961,-0.6083984,-0.6166992,-0.4404297,-0.2709961,-0.7304688,-0.887207,-0.5654297,-0.7749023,-0.6450195,-0.5859375,-0.5449219,-0.5878906,-0.5483398,-0.4882813,-0.5405273,-0.4921875,-0.4501953,-0.2739258,-0.3237305,-0.2607422,-0.2929688,-0.2490234,-0.2788086,-0.2504883,-0.2807617,0
Action 66,ARZ,0.1132813,0.1010742,0.105957,0.09765625,0.1103516,0.09619141,0.1108398,0.08349609,0.203125,0.2006836,0.206543,0.1665039,0.2060547,0.2915039,0.3251953,0.3637695,0.4052734,0.6669922,0.7373047,0.7236328,0.5888672,0.5537109,0.425293,0.3432617,0.6074219,1.232422,0.5288086,0.6430664,0.6938477,0.6245117,0.5576172,0.6147461,0.5708008,0.5263672,0.5146484,0.4418945,0.3276367,0.2514648,0.128418,0.06835938,0.1079102,0.08251953,0.1123047,0.06689453,0.1020508,0
Action 66,EMG0L,-1,-2,1,-1,-1,2,-7,1,2,-3,-1,-16,0,-22,7,-29,-21,67,-23,29,-1,-63,-66,-60,0,58,-24,-44,16,-16,-8,-9,-5,4,0,5,-1,5,1,1,0,-1,-1,-1,-1,0
Action 66,EMG1L,1,-1,1,-2,-2,-3,-2,8,10,-3,-22,11,42,-21,-19,6,-88,12,-13,2,8,-23,-24,0,4,25,-9,6,24,-16,6,-2,-15,-5,-1,-4,-1,0,-2,-2,0,-1,-2,-1,-1,0
Action 66,EMG2L,4,-3,1,0,2,-3,-4,10,24,12,19,6,1,-22,-6,3,-31,16,-2,-5,4,-20,-1,0,23,-13,-25,6,7,-10,3,-9,-9,9,-5,-2,1,-1,-1,-1,1,-3,0,-1,-1,0
Action 66,EMG3L,3,-1,-3,-4,-2,-2,-13,-11,16,-25,93,14,-2,15,-2,-1,8,1,-11,-8,-22,-1,9,24,-12,-98,-13,-16,17,-11,-2,-1,-6,2,2,-1,-2,6,-2,-4,-3,-1,-2,-1,-1,0
