ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 33,ARX,-1.01416,-1.034668,-1.117188,-1.124512,-1.046875,-0.9257813,-0.7158203,-0.4360352,-0.28125,-0.1142578,-0.2587891,-0.137207,-0.0703125,-0.1552734,-0.2363281,-0.2680664,-0.3994141,-0.2192383,-0.2192383,-0.3012695,-0.4291992,-0.6455078,-0.7983398,-1.078613,-1.043457,-1.062012,-1.005371,-1.036621,-1.000488,-1.003906,-1.021973,-1.02002,-1.00293,-0.9990234,-1.001953,-0.9941406,-0.9980469,-0.987793,-0.987793,-1.018066,-0.9892578,-1.005371,-0.9931641,-1.008301,-1.008301,0
Action 33,ARY,-0.4179688,-0.3012695,-0.6186523,-0.5986328,-0.652832,-0.8041992,-0.7265625,-0.5581055,-0.5878906,-0.5229492,-0.9150391,-0.9814453,-1.023438,-0.8525391,-0.9272461,-1.008789,-1.090332,-0.8632813,-0.8632813,-0.75,-0.5083008,-0.6699219,-0.7680664,-0.7949219,-0.730957,-0.5576172,-0.3632813,-0.2646484,-0.215332,-0.2373047,-0.2055664,-0.1889648,-0.199707,-0.1948242,-0.1640625,-0.1367188,-0.2158203,-0.1772461,-0.1992188,-0.1743164,-0.2001953,-0.2226563,-0.2128906,-0.1972656,-0.1972656,0
Action 33,ARZ,-0.144043,-0.02148438,0.1005859,0.1552734,0.1640625,0.2583008,0.1982422,0.1191406,0.2299805,0.08398438,0.06640625,0.3193359,0.2358398,0.1176758,0.1884766,0.3076172,0.3168945,0.1835938,0.1835938,0.1899414,0.1381836,0.1616211,0.3569336,0.315918,0.3642578,0.144043,0.007324219,0.05371094,-0.003417969,-0.02392578,-0.03271484,-0.01806641,-0.02734375,-0.06103516,-0.02832031,-0.06933594,-0.03271484,-0.01464844,-0.01123047,0.008300781,-0.01611328,-0.001953125,0.002929688,0.01806641,0.01806641,0
Action 33,EMG0L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Action 33,EMG1L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Action 33,EMG2L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Action 33,EMG3L,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
Action 33,EMG4L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Action 33,EMG5L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Action 33,EMG6L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Action 33,EMG7L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 33,EMG0R,-3,-22,-37,-28,31,-2,-1,-4,-27,17,-8,-9,-9,7,-1,6,1,2,2,-4,-1,3,2,-16,-9,1,-2,-8,-10,0,-5,-14,-2,-4,-20,11,4,1,-6,4,6,14,3,7,-4,0
Action 33,EMG1R,-3,-7,-52,-16,49,8,1,-2,-39,10,-9,-11,-1,4,-9,5,2,4,6,-9,-1,8,4,-25,-8,3,1,-3,-5,-2,0,-7,1,-5,-15,8,4,3,0,1,3,5,1,0,-5,0
Action 33,EMG2R,-4,-16,-74,-31,49,15,-2,3,-51,6,-10,-10,-1,4,-16,18,1,6,2,-13,2,7,9,-49,-18,-2,-2,-2,-2,0,1,-6,-1,-1,-8,4,2,2,-1,-1,1,1,0,-4,-5,0
