ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 187,ORL,6.891315,6.933125,6.914806,6.861076,6.824693,6.794518,6.771808,6.752796,6.731464,6.739722,6.752831,6.794046,6.843934,6.789498,6.761342,6.762667,6.791694,6.80907,6.790713,6.756031,6.73803,6.717297,6.697368,6.656975,6.667089,6.639084,6.681832,6.731277,6.917457,7.025527,7.004435,6.883296,6.768169,6.80323,6.838481,6.845241,6.85891,6.867425,6.872349,6.868567,6.872716,6.876499,6.89909,6.905491,6.898905,6.901074
Action 187,OPL,2.980598,2.992892,3.061483,3.282207,3.528048,3.843225,4.34212,4.768411,5.304832,5.505229,5.64567,5.733654,5.728076,5.702684,5.692585,5.69024,5.691028,5.698348,5.699051,5.641187,5.566398,5.347565,5.155764,4.646589,4.255194,3.935062,3.652166,3.425176,3.123874,3.01404,2.957424,2.966125,2.990105,3.001101,2.997185,3.00102,3.001051,2.99545,2.995996,2.997568,2.996005,2.995115,2.988904,2.987773,2.990856,2.991426
Action 187,OYL,5.754786,5.805734,5.960648,6.214975,6.459819,6.724072,7.055512,7.269647,7.47179,7.545985,7.630927,7.744788,7.895309,7.770606,7.710863,7.733465,7.820277,7.869456,7.815884,7.701389,7.647654,7.509271,7.41191,7.179669,6.979394,6.799327,6.589872,6.363707,5.907699,5.677918,5.615746,5.698345,5.773347,5.707691,5.681413,5.701114,5.734004,5.729567,5.730982,5.736765,5.743073,5.742751,5.727281,5.715449,5.704753,5.698305
Action 187,ORR,3.000458,2.997784,2.991729,2.989967,2.991337,2.979744,2.967178,2.963332,2.957449,2.949656,2.94065,2.938205,2.95107,2.969226,2.955742,2.959793,2.970349,2.973618,2.974322,2.968225,2.977201,2.987012,2.98775,2.982393,2.98213,2.987817,2.983006,2.980585,2.97605,2.978143,2.980187,2.979882,2.981615,2.979222,2.983468,2.990593,2.993803,2.98804,2.98381,2.985283,2.991299,2.992537,2.989431,2.989459,2.992265,2.998043
Action 187,OPR,3.042903,3.043215,3.044772,3.048588,3.050189,3.051402,3.053972,3.055011,3.053168,3.050432,3.050894,3.057005,3.061706,3.061572,3.067015,3.067162,3.067134,3.067253,3.065058,3.064034,3.065673,3.0657,3.06263,3.059827,3.058968,3.062203,3.058517,3.054829,3.050934,3.04891,3.045625,3.043116,3.040858,3.040399,3.043664,3.044116,3.042782,3.044637,3.046847,3.048525,3.048084,3.048491,3.049762,3.049162,3.048581,3.048579
Action 187,OYR,6.412567,6.408165,6.399472,6.385378,6.374701,6.375811,6.385888,6.400159,6.429806,6.456038,6.483046,6.491231,6.486854,6.474936,6.474071,6.468055,6.446403,6.440845,6.443656,6.449178,6.45295,6.460405,6.472947,6.485478,6.485619,6.466819,6.458678,6.447021,6.434102,6.424995,6.414999,6.407146,6.39664,6.387249,6.379983,6.378636,6.382872,6.3972,6.408778,6.415648,6.412362,6.408776,6.406458,6.398654,6.391214,6.384019
Action 188,ALX,0.9277344,0.9311523,0.9296875,0.9370117,0.9272461,0.9458008,0.9750977,1.01709,0.9262695,0.7939453,0.5395508,0.1474609,-0.05273438,-0.168457,-0.2167969,-0.2832031,-0.34375,-0.4399414,-0.4057617,-0.3935547,-0.371582,-0.4345703,-0.4580078,-0.4082031,-0.3754883,-0.4033203,-0.434082,-0.3896484,-0.3789063,-0.3632813,-0.2285156,-0.2021484,-0.05810547,0.3530273,0.5913086,0.8779297,0.8681641,0.9140625,0.9667969,0.9609375,0.9282227,0.9033203,0.9179688,0.9331055,0.9375,0.9287109
Action 188,ALY,0.2817383,0.2817383,0.2768555,0.2744141,0.28125,0.296875,0.4702148,0.5151367,0.6396484,0.7358398,0.6767578,0.6523438,0.6416016,0.7133789,0.7392578,0.8017578,0.8012695,0.7460938,0.8349609,0.8081055,0.8242188,0.7978516,0.8120117,0.84375,0.828125,0.7856445,0.7915039,0.8583984,0.8588867,0.7963867,0.6665039,0.6347656,0.7739258,0.7709961,0.8662109,0.7368164,0.5483398,0.4731445,0.4086914,0.3447266,0.3476563,0.3276367,0.3168945,0.2963867,0.3359375,0.2822266
Action 188,ALZ,0.1069336,0.1108398,0.1040039,0.1132813,0.1040039,0.105957,0.1005859,0.203125,0.5493164,0.6171875,0.5615234,0.5102539,0.409668,0.394043,0.4282227,0.487793,0.4765625,0.4023438,0.4780273,0.5327148,0.4995117,0.4135742,0.340332,0.434082,0.5097656,0.4482422,0.3774414,0.4077148,0.453125,0.4584961,0.3666992,0.3842773,0.487793,0.5297852,0.5449219,0.4790039,0.3696289,0.2822266,0.222168,0.2128906,0.2026367,0.2006836,0.1547852,0.08740234,0.02001953,0.109375
Action 188,ARX,0.9384766,0.9370117,0.9389648,0.9365234,0.9394531,0.9511719,0.9335938,0.918457,0.9521484,0.9599609,0.9477539,0.940918,0.9384766,0.9443359,0.9165039,0.9248047,0.9296875,0.9248047,0.9526367,0.9243164,0.9321289,0.9394531,0.9511719,0.9267578,0.9262695,0.9365234,0.9355469,0.9350586,0.9243164,0.9360352,0.9477539,0.9394531,0.9311523,0.9384766,0.9370117,0.9174805,0.9321289,0.9428711,0.9350586,0.9360352,0.9365234,0.9414063,0.9477539,0.9433594,0.9375,0.9370117
Action 188,ARY,-0.3183594,-0.3203125,-0.3178711,-0.3178711,-0.3212891,-0.3212891,-0.3237305,-0.3232422,-0.3388672,-0.3203125,-0.2988281,-0.2724609,-0.3115234,-0.331543,-0.3466797,-0.3598633,-0.3461914,-0.3125,-0.347168,-0.3520508,-0.3330078,-0.3232422,-0.3188477,-0.3085938,-0.3637695,-0.3295898,-0.3173828,-0.3364258,-0.3320313,-0.3334961,-0.2973633,-0.3188477,-0.3222656,-0.3769531,-0.3359375,-0.3271484,-0.3149414,-0.3261719,-0.3310547,-0.3076172,-0.3227539,-0.3110352,-0.3193359,-0.3168945,-0.3105469,-0.3208008
Action 188,ARZ,0.09765625,0.09960938,0.105957,0.1015625,0.1069336,0.09619141,0.09570313,0.1220703,0.1313477,0.08642578,0.07568359,0.06884766,0.07861328,0.08984375,0.1005859,0.1191406,0.1074219,0.08496094,0.09472656,0.08251953,0.09960938,0.09716797,0.09619141,0.07421875,0.09326172,0.1098633,0.09326172,0.08300781,0.09179688,0.1035156,0.09228516,0.08984375,0.08349609,0.1240234,0.1181641,0.1098633,0.09716797,0.09912109,0.1020508,0.1035156,0.1030273,0.09863281,0.08642578,0.08300781,0.09033203,0.09033203
Action 188,EMG0L,-3,3,0,2,0,5,-2,-4,-19,-26,-7,5,35,33,-23,1,-21,9,7,-5,-4,0,-19,22,22,-17,-5,34,5,3,2,4,1,-1,-2,1,0,-2,-3,2,-2,1,-3,2,-1,-3
Action 188,EMG1L,-3,1,-1,-1,0,3,-8,0,-4,4,3,10,5,11,-5,-4,-9,-6,3,8,-3,-6,-1,-1,13,-4,-2,8,7,1,2,0,2,0,-1,2,1,-4,-1,-2,-2,0,-2,0,1,-3
Action 188,EMG2L,0,-1,-1,-1,-1,1,-17,2,3,16,0,-20,2,0,-5,-2,-12,-8,-5,8,-3,-11,4,-5,-6,-2,-1,-6,3,-5,-1,-2,-1,-2,-2,1,0,-2,0,0,-2,-1,0,1,1,-3
Action 188,EMG3L,-1,-1,0,0,-2,-1,1,2,3,-31,7,-18,-4,-5,-54,-51,-11,-15,-53,20,-7,9,-30,4,-20,0,-10,-5,14,-4,0,-5,-1,-3,-5,1,0,0,-2,-1,0,-1,-2,0,0,-3
Action 188,EMG4L,0,-1,1,-2,-3,5,-2,-4,-8,10,4,-14,-2,-6,-13,0,-17,5,-17,7,-10,0,-21,-7,-8,1,1,-6,4,-2,-3,-4,-1,-4,-2,1,0,0,5,-6,22,-6,-4,0,1,-5
Action 188,EMG5L,0,0,4,-2,7,11,-4,-12,-1,11,2,-5,1,2,-5,4,4,-1,-10,-1,-18,-4,-5,-7,3,2,-3,-3,2,-2,1,2,-2,-2,0,1,1,-4,3,-3,7,-1,-1,-1,-3,0
Action 188,EMG6L,-1,-1,4,0,-1,6,-4,-7,-4,-9,9,-12,10,8,0,-6,4,-1,6,-11,-26,-2,-3,-3,6,9,1,-1,4,1,3,4,-9,-1,3,1,6,-11,3,2,7,-4,-4,2,-4,6
Action 188,EMG7L,0,2,-5,0,-2,1,-4,-3,-13,-11,16,-7,9,19,11,-23,-21,8,3,-20,-19,-12,-1,-16,8,5,-3,9,-3,4,-2,-4,-8,3,-3,-3,-3,-18,-2,0,-1,-9,27,5,-1,17
Action 188,EMG0R,0,0,0,0,-1,-1,0,-2,0,-1,-1,0,-1,-1,-2,-1,0,-1,-3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-3,-2,1,0,0,0,-1,-2,-12,-9,5,1,-1,-1,-2
Action 188,EMG1R,-1,0,-4,-1,-1,0,-3,-3,-3,-1,-3,0,-1,-2,-2,-1,0,-1,-1,0,-1,-3,-2,-3,-1,-2,-1,1,0,-1,-1,0,0,-3,-3,-1,-3,-3,-1,-16,-4,2,-1,-2,-1,0
Action 188,EMG2R,-3,-2,0,-1,0,-2,-1,-2,-2,-1,-4,-1,-2,0,0,-2,-1,0,-3,-3,-1,-2,-1,-2,-1,0,-2,-2,-1,1,-1,0,0,0,-2,-1,-2,-2,-1,-2,-2,-1,0,-2,0,-1
Action 188,EMG3R,0,0,0,-1,-2,0,-1,0,-2,-3,-1,-1,0,-1,0,-2,-1,-2,0,-2,0,-2,-1,-1,0,0,-1,-2,-1,-3,-2,0,1,-1,-1,-2,-1,-1,-1,-3,0,0,-1,-1,0,-3
Action 188,EMG4R,0,1,-3,-2,-2,-2,-3,-1,-1,-2,-1,-1,-1,-1,1,-2,-1,-2,-2,-1,1,-1,-2,-1,-2,0,-1,-2,0,-3,0,-2,-2,0,1,1,-4,0,0,-1,1,-1,-2,-1,0,0
Action 188,EMG5R,-1,-1,-1,-1,-3,-3,-2,-1,-1,-4,-1,0,-2,-1,-1,0,2,0,-1,0,-2,-2,-2,0,0,-1,-2,0,0,-1,1,-2,-1,-2,-1,-2,0,-4,-1,-4,-2,-1,-1,1,1,-1
Action 188,EMG6R,-1,1,-1,-2,1,-1,-1,-1,-1,-2,-2,0,0,0,-1,-1,-2,-1,-1,-1,-1,-1,-3,0,-1,0,-3,-2,-1,-1,-2,-1,-1,-2,-2,0,0,-2,-5,-3,11,-2,2,1,0,2
Action 188,EMG7R,1,0,0,-1,-2,-1,-1,-1,-2,-2,-3,-1,0,-1,-1,0,-2,-2,-2,-2,0,-1,-1,0,-1,0,-1,-1,0,-1,-1,-2,0,-1,1,-2,2,-1,-2,0,2,-1,3,1,-1,-4
