ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46,time47
Action 197,ALZ,0.1484375,0.140625,0.1464844,0.1401367,0.1513672,0.1523438,0.1972656,0.3574219,0.5498047,0.5737305,0.6396484,0.5102539,0.4897461,0.6821289,0.2045898,0.378418,0.4233398,0.418457,0.3793945,0.3500977,0.2431641,0.3691406,0.4243164,0.5537109,0.4418945,0.296875,0.2592773,0.2275391,0.2089844,0.2280273,0.2817383,0.3808594,0.3530273,0.3530273,0.3530273,0.3139648,0.2485352,-0.03466797,0.04101563,0.2797852,0.2353516,0.1464844,0.1040039,0.1147461,0.1425781,0,0
Action 197,ARX,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0.9350586,0,0
Action 197,ARY,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,-0.3334961,0,0
Action 197,ARZ,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0.09179688,0,0
Action 197,EMG0L,1,-1,-1,0,0,-1,-11,11,-3,10,-11,2,-28,-5,45,-19,20,-14,18,0,4,-70,-26,-13,-21,4,6,4,-25,-8,4,1,4,0,-1,-3,0,2,0,0,0,0,-1,1,-3,0,0
Action 197,EMG1L,-2,0,-1,-3,0,-2,-5,2,0,2,1,1,-10,-3,1,-16,1,1,4,-2,5,-10,-10,-9,-4,-16,0,-2,-7,-1,3,-2,-2,-1,-1,-5,1,1,-3,0,-2,-2,-2,0,0,0,0
Action 197,EMG2L,-1,-1,1,-1,-2,-2,-2,-20,12,-23,21,-11,-12,-2,5,-13,1,0,-3,-4,6,-9,-6,-18,-16,-4,-7,-10,-17,1,2,-6,0,2,-4,-7,-1,0,-1,-3,1,-1,-1,-1,-2,0,0
Action 197,EMG3L,2,0,-1,0,-4,-2,15,-1,22,-33,4,0,-6,3,-17,23,-15,-5,-5,8,1,-11,10,-1,-7,9,2,8,-30,-11,6,-7,11,4,-3,-1,1,-1,1,0,0,-1,-2,0,-2,0,0
Action 197,EMG4L,-7,-4,-3,-3,1,5,2,-13,1,-21,2,-2,-1,-7,-3,-17,-5,-9,7,1,-4,-8,36,-11,9,-12,1,-8,-20,-4,-2,-7,-1,-2,-2,-2,-2,-3,-3,-1,0,1,1,-1,-2,0,0
Action 197,EMG5L,1,-3,2,-1,-3,0,-4,-6,-1,-2,4,-10,-3,-5,1,-18,-1,3,3,1,-6,-6,-1,-8,-6,-3,0,-6,-4,2,0,-3,-1,4,-1,0,-1,-1,-5,0,-3,0,2,-2,-3,0,0
Action 197,EMG6L,1,-1,0,0,-2,-1,-1,0,-7,4,4,-2,-15,-5,-2,-17,3,6,2,0,-6,-31,-20,4,-13,-21,4,-9,-11,9,-6,6,-2,2,4,2,-3,1,-4,-2,-7,-4,3,-3,-2,0,0
Action 197,EMG7L,0,-3,-2,1,1,-1,1,-12,-12,17,-4,-15,-12,-11,7,-11,25,-3,30,3,5,-15,-15,26,-73,18,-12,-33,-32,24,1,6,-8,2,-2,-6,0,9,-2,3,0,-1,1,-2,-1,0,0
Action 197,EMG0R,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
Action 197,EMG1R,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0
Action 197,EMG2R,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
Action 197,EMG3R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 197,EMG4R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 197,EMG5R,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0
Action 197,EMG6R,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
Action 197,EMG7R,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
