ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46,time47,time48,time49,time50,time51,time52,time53,time54,time55,time56,time57,time58,time59,time60,time61,time62,time63,time64,time65,time66,time67,time68,time69,time70,time71,time72,time73,time74,time75,time76,time77,time78,time79,time80,time81,time82,time83,time84,time85
Action 10,GRX,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,NaN,NaN
Action 10,GRY,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,NaN,NaN
Action 10,GRZ,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,NaN,NaN
Action 10,ORL,6.757126,6.757496,6.757496,6.758238,6.799319,6.816427,6.80383,6.771714,6.734961,6.664354,6.607069,6.480693,6.366804,6.259611,6.165875,6.123101,6.078788,6.03538,5.920721,5.843351,5.805064,5.737869,5.711492,5.631761,5.597784,5.571698,5.578087,5.572666,5.566117,5.553167,5.553167,5.553167,5.425932,5.410116,5.457101,5.478819,5.549007,5.547519,5.57529,5.57529,5.615207,5.604077,5.60028,5.639101,5.639101,5.643591,5.64397,5.644241,5.656381,5.656381,5.656381,5.6604,5.66512,5.671391,5.677095,5.751173,5.751173,5.846228,5.91505,6.147388,6.147388,6.332929,6.443916,6.479086,6.558346,6.633165,6.737388,6.817712,6.792578,6.662387,6.574566,6.551435,6.551214,6.549406,6.599577,6.705062,6.748828,6.79242,6.836249,6.85039,6.84785,6.841569,6.818564,NaN,NaN
Action 10,OPL,3.057413,3.057301,3.057301,3.056485,3.055967,3.06066,3.089085,3.15854,3.268212,3.430054,3.53331,3.773597,4.059986,4.379744,4.713645,4.881757,5.048224,5.210966,5.664814,5.939542,6.06957,6.326499,6.448589,6.726313,6.787022,6.842143,6.850171,6.850238,6.845551,6.840698,6.840698,6.840698,6.737848,6.696273,6.429659,6.156118,5.670142,5.522683,5.328723,5.328723,5.278219,5.271274,5.269107,5.285777,5.285777,5.289145,5.292958,5.300421,5.298185,5.298185,5.298185,5.265896,5.258389,5.247355,5.231996,5.134668,5.134668,5.06306,5.028124,4.808342,4.808342,4.429976,3.971437,3.836154,3.579684,3.365073,3.189468,3.097004,3.07726,3.0481,3.038397,3.047483,3.057455,3.076392,3.081414,3.074897,3.069324,3.052514,3.022362,3.007898,3.000771,3.001923,3.012598,NaN,NaN
Action 10,OYL,4.728407,4.727957,4.727957,4.728968,4.691071,4.668031,4.638827,4.585041,4.553965,4.551754,4.554221,4.56276,4.571603,4.582347,4.588152,4.588337,4.58677,4.582458,4.56961,4.555676,4.547952,4.530061,4.519557,4.43333,4.399742,4.383439,4.398867,4.408357,4.410327,4.40407,4.40407,4.40407,4.323514,4.307372,4.37627,4.374284,4.436338,4.453189,4.45391,4.45391,4.463675,4.465858,4.468107,4.484614,4.484614,4.486725,4.485244,4.48081,4.478265,4.478265,4.478265,4.47198,4.470716,4.469391,4.467105,4.470735,4.470735,4.502191,4.534929,4.672051,4.672051,4.771858,4.872711,4.895208,4.941808,5.041103,5.157137,5.114769,5.093486,5.070232,5.034295,4.983445,4.953725,4.91701,4.923424,4.919271,4.905122,4.871594,4.820432,4.786927,4.764399,4.757131,4.744144,NaN,NaN
Action 10,ORR,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,NaN,NaN
Action 10,OPR,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,NaN,NaN
Action 10,OYR,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,NaN,NaN
Action 11,ALX,1.04248,0.9584961,0.9316406,0.9316406,0.7421875,0.3984375,-0.07421875,-0.07421875,-0.2783203,-0.4311523,-0.7470703,-0.7470703,-0.7470703,-0.6821289,-0.6821289,-0.8500977,-0.8920898,-0.8920898,-0.9160156,-0.9868164,-1.056641,-1.212402,-1.422852,-0.4418945,-0.4418945,0.9853516,0.6166992,-0.2182617,-0.2182617,-0.09423828,-0.206543,-0.2128906,-0.2290039,-0.1953125,-0.1601563,-0.1601563,-0.1899414,-0.1767578,-0.1938477,-0.1230469,-0.09130859,-0.06201172,0.009277344,0.1074219,0.2260742,0.2983398,0.3325195,0.6821289,0.6962891,0.7436523,0.8310547,0.9384766,0.9130859,1.047363,1.054199,0.9970703,0.9711914,0.9003906,0.8798828,0.8945313,0.8974609,0.9594727,0.8837891,0.8833008,0.8833008,0.8930664,0.8945313,0.9077148,0.934082,0.949707,0.9296875,0.9331055,0.9375,0.9316406,0.9379883,0.9311523,0.9306641,0.925293,0.9335938,0.9306641,0.9365234,NaN,NaN,NaN,NaN
