ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 69,OYL,2.504747,2.502934,2.505241,2.504601,2.50321,2.49779,2.507029,2.558303,2.67818,2.945825,3.041529,3.171899,3.229476,3.271333,3.430135,3.57099,3.764434,4.016141,4.414076,4.704945,5.015702,5.141251,5.056103,4.909526,4.840152,4.825768,4.957232,5.172703,5.178502,4.951864,4.58173,4.276229,3.937699,3.757029,3.609111,3.531695,3.510122,3.35523,3.257041,3.141152,3.011468,2.6619,1.916413,1.086912,1.380383,0
Action 69,ORR,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,0
Action 69,OPR,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,0
Action 69,OYR,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,0
Action 70,ALX,0.9472656,0.9291992,0.9418945,0.9067383,0.9013672,0.9199219,0.9750977,0.9833984,0.9584961,0.5161133,0.2167969,-0.09716797,-0.4243164,-0.6435547,-0.6435547,-0.6035156,-0.6328125,-0.6884766,-0.7929688,-0.8129883,-0.9570313,-0.9482422,-0.9208984,-0.8876953,-0.8374023,-0.6748047,-0.6801758,-0.7006836,-0.7626953,-0.6733398,-0.6230469,-0.5996094,-0.2202148,0.06103516,0.3828125,0.5825195,0.7016602,0.9277344,1.07959,1.070313,1.008789,0.921875,0.9155273,0.9277344,0.9282227,0
Action 70,ALY,0.2651367,0.2998047,0.284668,0.2983398,0.3208008,0.2856445,0.3793945,0.5327148,0.5556641,0.7436523,0.8012695,0.7583008,0.7749023,0.6616211,0.5625,0.5322266,0.4799805,0.3188477,0.3920898,0.2329102,0.4179688,0.3540039,0.3393555,0.3642578,0.3686523,0.3398438,0.3608398,0.4052734,0.590332,0.6054688,0.7402344,0.859375,0.8271484,0.8051758,0.6459961,0.5209961,0.6508789,0.3730469,0.2685547,0.3041992,0.2539063,0.2719727,0.2958984,0.2944336,0.3007813,0
Action 70,ALZ,0.1328125,0.1464844,0.1606445,0.1972656,0.203125,0.2128906,0.2285156,0.5297852,0.605957,0.7636719,0.7866211,0.7402344,0.690918,0.5249023,0.378418,0.3422852,0.07226563,-0.001953125,-0.2358398,-0.2563477,-0.1987305,-0.1479492,-0.05029297,-0.3129883,-0.1923828,-0.02832031,-0.01220703,0.1220703,0.3154297,0.3754883,0.6611328,0.6713867,0.6645508,0.6928711,0.6269531,0.5541992,0.4414063,0.3959961,0.09082031,-0.06689453,0.01513672,0.1376953,0.1665039,0.1240234,0.1240234,0
Action 70,ARX,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0
Action 70,ARY,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,0
Action 70,ARZ,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0
Action 70,EMG0L,10,-23,-6,-11,0,-22,-29,-66,35,16,22,-33,-68,-19,-34,-48,-9,40,65,8,-12,12,9,30,-23,4,22,-14,-3,-4,1,5,-4,-51,-23,-7,-10,-13,0,-18,1,2,-3,1,-1,0
Action 70,EMG1L,1,2,4,-6,-2,4,-5,-10,12,-6,3,-21,17,6,10,-42,-17,-20,75,-18,1,8,4,-6,-38,21,-2,2,-2,8,6,3,5,2,2,-8,-3,-6,-3,-5,0,1,-3,-1,-2,0
Action 70,EMG2L,1,3,3,-1,2,1,14,-15,-23,-46,15,19,7,3,-8,-20,12,7,42,7,-1,-3,4,-17,2,10,0,-1,-5,10,-2,4,10,14,6,-2,-1,-3,-6,-4,0,-1,-1,1,-1,0
Action 70,EMG3L,-1,-2,-1,-2,-1,-15,-7,-19,-14,-88,19,-6,-14,-16,0,-8,-2,-5,20,12,3,-7,-1,9,2,14,3,-6,-5,5,2,-8,-3,8,4,5,-4,-8,8,-4,-2,0,-1,-1,0,0
Action 70,EMG4L,-1,0,-1,-1,0,-5,-2,-1,-2,-1,7,39,-8,-40,-7,-22,18,6,-5,16,9,6,-1,10,22,37,14,-4,-2,-3,3,0,-1,5,0,-2,-1,-1,-1,1,-2,-1,0,0,-1,0
Action 70,EMG5L,1,30,-6,5,12,-13,-23,6,63,-6,13,17,-20,-40,49,-20,19,37,0,49,22,55,35,-4,-41,14,30,8,7,-4,-10,-5,3,31,3,19,5,2,1,6,0,-2,-1,-1,-1,0
Action 70,EMG6L,-1,6,1,-1,-1,3,0,-4,4,-4,3,-8,1,47,-7,12,24,4,2,-8,-4,3,-5,3,-10,12,12,3,-4,-1,3,3,3,-5,6,3,0,-3,1,-2,-2,-1,0,-1,-1,0
Action 70,EMG7L,0,0,1,-2,-2,-1,-6,-8,1,13,4,7,-18,37,-24,-6,16,-23,42,-8,36,7,13,30,-4,12,-8,1,-5,-19,7,16,5,-1,10,3,-1,-3,-2,-3,1,-2,-2,0,0,0
Action 70,EMG0R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 70,EMG1R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 70,EMG2R,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
Action 70,EMG3R,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Action 70,EMG4R,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
Action 70,EMG5R,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Action 70,EMG6R,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Action 70,EMG7R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 70,GLX,4.6875,0.0625,1,-1,1.3125,-2.625,-25.3125,-20.6875,-8.875,10.0625,30.6875,39,42.9375,74,47.75,34.1875,18.25,-5.3125,1.5625,-11.125,-0.9375,17.0625,1.5625,-16.4375,5.6875,-23,-18.5,-31.8125,-58.0625,-44.5,-42.8125,-44.4375,-27.5,-4.75,-23.4375,1.3125,3.75,-12.9375,-37.4375,-32.9375,-15.9375,8.0625,1.25,7.0625,11.5,0
Action 70,GLY,4.6875,0.0625,1,-1,1.3125,-2.625,-25.3125,-20.6875,-8.875,10.0625,30.6875,39,42.9375,74,47.75,34.1875,18.25,-5.3125,1.5625,-11.125,-0.9375,17.0625,1.5625,-16.4375,5.6875,-23,-18.5,-31.8125,-58.0625,-44.5,-42.8125,-44.4375,-27.5,-4.75,-23.4375,1.3125,3.75,-12.9375,-37.4375,-32.9375,-15.9375,8.0625,1.25,7.0625,11.5,0
Action 70,GLZ,4.6875,0.0625,1,-1,1.3125,-2.625,-25.3125,-20.6875,-8.875,10.0625,30.6875,39,42.9375,74,47.75,34.1875,18.25,-5.3125,1.5625,-11.125,-0.9375,17.0625,1.5625,-16.4375,5.6875,-23,-18.5,-31.8125,-58.0625,-44.5,-42.8125,-44.4375,-27.5,-4.75,-23.4375,1.3125,3.75,-12.9375,-37.4375,-32.9375,-15.9375,8.0625,1.25,7.0625,11.5,0
Action 70,GRX,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,0
Action 70,GRY,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,0
Action 70,GRZ,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,0
Action 70,ORL,6.810913,6.783296,6.730939,6.649242,6.601057,6.553667,6.503831,6.304484,6.26848,6.194123,6.213094,6.251561,6.386768,6.581009,6.847076,7.068153,7.575866,8.03259,8.208533,8.226717,8.178133,8.121487,8.066869,8.279303,8.248908,7.912562,7.590167,7.223509,6.907998,6.738646,6.419052,6.379015,6.225397,6.205503,6.21254,6.234176,6.336574,6.414919,6.988135,7.495211,7.692161,7.476573,7.221462,7.005946,6.845263,0
Action 70,OPL,3.011,3.02729,3.049945,3.092618,3.126861,3.156249,3.200556,3.444367,3.530013,4.142875,4.604023,5.09467,5.739378,6.152837,6.463905,6.613536,6.7902,6.845051,6.832982,6.835171,6.857649,6.870715,6.87481,6.834326,6.852694,6.852969,6.797722,6.666482,6.450483,6.271147,5.72434,5.604017,4.98398,4.522908,4.196759,3.884068,3.586234,3.304743,2.949734,2.877206,2.866386,2.884415,2.920832,2.961833,3.006271,0
Action 70,OYL,2.414505,2.448916,2.502893,2.587018,2.642211,2.6883,2.727115,2.890842,2.928705,3.066506,3.122154,3.185191,3.311526,3.479205,3.727458,3.943818,4.440699,4.922959,5.108353,5.143868,5.073328,4.999694,4.93294,5.167609,5.143077,4.822327,4.512141,4.171,3.883052,3.727133,3.436864,3.397976,3.23834,3.135143,3.068523,3.001746,2.906986,2.74455,2.091894,1.511015,1.269775,1.48217,1.74973,1.977661,2.163761,0
Action 70,ORR,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,3.174355,0
Action 70,OPR,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,2.941949,0
Action 70,OYR,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,5.969935,0
Action 71,ALX,0.9282227,0.9262695,0.925293,0.9228516,0.9267578,0.9433594,0.987793,1.085449,0.9995117,0.7597656,0.5112305,0.2163086,-0.2768555,-0.5649414,-0.6738281,-0.690918,-0.7861328,-0.7333984,-0.7089844,-0.7744141,-0.8027344,-0.9033203,-0.9980469,-0.9711914,-0.8706055,-0.8681641,-0.9038086,-0.9291992,-0.8164063,-0.793457,-0.7670898,-0.6694336,-0.6655273,-0.6630859,-0.5239258,-0.1879883,0.1259766,0.5566406,0.7451172,1.081055,1.192383,1.11084,0.9677734,0.9008789,0.8999023,0
Action 71,ALY,0.2890625,0.2871094,0.277832,0.2890625,0.2841797,0.2700195,0.2861328,0.4189453,0.5405273,0.7651367,0.7744141,0.8227539,0.6782227,0.6108398,0.5385742,0.5571289,0.4013672,0.4077148,0.3510742,0.1992188,0.1245117,0.2099609,0.3642578,0.3154297,0.3320313,0.2485352,0.3295898,0.3295898,0.3266602,0.2890625,0.3984375,0.4892578,0.5405273,0.6855469,0.8710938,0.8022461,0.6899414,0.637207,0.5976563,0.5009766,0.4941406,0.2128906,0.2675781,0.3369141,0.2924805,0
Action 71,ALZ,0.125,0.1352539,0.125,0.1367188,0.1279297,0.1137695,0.1293945,0.3017578,0.5654297,0.6772461,0.7641602,0.7602539,0.6967773,0.597168,0.5058594,0.2807617,0.2202148,0.1147461,-0.03710938,-0.1914063,-0.3144531,-0.2299805,-0.1933594,-0.1870117,-0.2768555,-0.3046875,-0.2763672,-0.2387695,-0.1665039,-0.144043,0.04296875,0.152832,0.3232422,0.4223633,0.6928711,0.5883789,0.6445313,0.6386719,0.4663086,0.3076172,0.01269531,-0.1259766,0.08984375,0.2128906,0.1914063,0
Action 71,ARX,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0.956543,0
Action 71,ARY,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,-0.2480469,0
Action 71,ARZ,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0
Action 71,EMG0L,7,3,-2,-1,-1,-43,67,-11,-35,2,-1,8,-63,53,-61,-6,83,4,-89,-27,22,61,10,0,5,-19,3,33,4,-27,-24,12,-8,25,-16,-1,6,-5,1,0,0,-1,0,1,1,0
Action 71,EMG1L,-2,0,-2,-1,-1,1,7,-16,-1,1,5,36,-33,12,1,0,9,-13,-26,-2,7,-6,8,-20,-33,7,17,-16,-1,5,7,-3,1,0,-2,1,3,3,4,-1,-1,-2,-1,0,-2,0
Action 71,EMG2L,1,-2,-2,-1,-1,0,-16,-26,19,16,12,58,0,-3,-10,9,2,-7,-13,-4,-1,-2,0,-18,10,0,-16,3,-5,2,0,3,-10,1,-4,-1,5,2,4,2,2,-2,-1,1,0,0
Action 71,EMG3L,-1,-2,0,-2,-1,0,-20,0,20,57,-24,-2,-2,-11,-2,4,-6,-8,-8,14,-10,-8,-2,-8,3,-6,-1,3,0,-3,-12,1,-6,-5,-2,-1,-1,-5,-2,-37,28,-9,6,1,0,0
Action 71,EMG4L,-1,1,-1,-2,-1,-2,-7,6,-3,9,9,20,1,1,-14,7,4,-75,48,-14,-9,2,7,-19,30,5,0,-10,-28,-53,1,0,-4,0,-1,2,-2,-2,3,-1,-1,-2,0,-1,0,0
Action 71,EMG5L,0,1,0,-1,-1,-7,-60,-10,1,38,25,-19,-2,100,-81,85,-74,-26,47,-25,6,13,-19,-104,62,-17,20,6,-44,18,7,4,-4,1,3,3,-3,1,2,-1,0,-2,-2,1,0,0
Action 71,EMG6L,-1,-3,-1,0,0,-1,-2,-1,0,-6,-8,7,11,15,20,17,0,-19,13,-31,13,-8,-19,18,-16,-8,-10,8,-29,-3,-12,-8,3,-7,0,-9,-5,1,-2,-2,-1,0,0,0,0,0
Action 71,EMG7L,1,-1,0,-4,0,0,3,-5,-2,-8,-9,0,7,21,4,0,21,-7,36,-23,22,-7,-6,25,16,-26,18,-3,28,-11,-8,-16,-1,-5,-12,-1,-8,0,-2,0,-2,-1,-1,-1,1,0
Action 71,EMG0R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 71,EMG1R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 71,EMG2R,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
