ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46,time47
Action 1,ALX,0.9438477,0.9516602,0.9545898,0.9545898,0.949707,0.956543,0.9550781,0.9487305,0.9619141,1.070313,1.193848,1.049805,0.6445313,0.3227539,0.3291016,0.2758789,0.4116211,0.3383789,0.2666016,0.2050781,0.1557617,0.1474609,0.1713867,0.2211914,0.1542969,0.128418,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.105957,0.2231445,0.1586914,0.2236328,0.2783203,0.1938477,0.02490234,0,0
Action 1,ALY,-0.2797852,-0.2524414,-0.2626953,-0.2646484,-0.2626953,-0.2363281,-0.2514648,-0.2568359,-0.2568359,-0.2260742,-0.2583008,-0.4824219,-0.6835938,-0.5170898,-0.5708008,-0.5756836,-0.7250977,-0.8115234,-0.7304688,-0.7460938,-0.7236328,-0.7993164,-0.7382813,-0.8066406,-0.7626953,-0.7729492,-0.7724609,-0.7724609,-0.7724609,-0.7724609,-0.7724609,-0.7724609,-0.7724609,-0.7724609,-0.7724609,-0.7724609,-0.7724609,-0.7724609,0.9272461,0.9990234,0.9936523,1.062988,0.9902344,0.9638672,0.8740234,0,0
Action 1,ALZ,0.1220703,0.1279297,0.1220703,0.1274414,0.1162109,0.1225586,0.121582,0.109375,0.1113281,0.006835938,0.1035156,0.4448242,0.4707031,0.4555664,0.4404297,0.5229492,0.6030273,0.5976563,0.5854492,0.6152344,0.5849609,0.6079102,0.5893555,0.6503906,0.6489258,0.6586914,0.6235352,0.6235352,0.6235352,0.6235352,0.6235352,0.6235352,0.6235352,0.6235352,0.6235352,0.6235352,0.6235352,0.6235352,0.3344727,0.4257813,0.3671875,0.3979492,0.4335938,0.3901367,0.3505859,0,0
Action 1,ARX,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.918457,0.1015625,0.06054688,0.1484375,0.1894531,0.2231445,0.1865234,0.2070313,0.2026367,0.1616211,0.1337891,0.09960938,0.1152344,0.1054688,0.1123047,0.1137695,0.1191406,0.1323242,0.1459961,0,0
Action 1,ARY,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,0.3100586,-0.71875,-0.7270508,-0.7460938,-0.7827148,-0.7963867,-0.7460938,-0.7744141,-0.7470703,-0.7709961,-0.7275391,-0.730957,-0.7460938,-0.7495117,-0.7407227,-0.7504883,-0.7573242,-0.7641602,-0.7451172,0,0
Action 1,ARZ,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.1303711,0.6225586,0.5839844,0.6162109,0.6699219,0.6547852,0.6552734,0.668457,0.6591797,0.6538086,0.6425781,0.6484375,0.668457,0.6625977,0.6455078,0.6333008,0.6376953,0.6416016,0.6469727,0,0
Action 1,EMG0L,0,-1,-2,-1,-3,1,-2,-1,-1,-8,-2,5,1,-6,-3,4,-2,-1,1,-3,-5,0,-1,-1,1,-2,-2,0,0,0,0,0,0,0,0,0,0,0,-1,2,2,-2,-1,-2,1,0,0
Action 1,EMG1L,5,2,0,-3,-1,2,-1,-1,0,0,1,-1,3,-2,-3,1,2,1,0,-3,1,0,-4,3,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,3,0,0
Action 1,EMG2L,1,-4,1,-2,0,1,-2,-2,0,0,0,-15,2,-1,-13,10,0,5,0,3,2,-2,1,0,4,2,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-4,-2,0,-1,5,-5,-1,0,0
Action 1,EMG3L,-3,-1,-2,0,0,-1,0,-1,-4,-3,-10,3,-1,-5,-6,4,2,-7,-3,2,-6,0,4,-4,5,2,0,3,3,3,3,3,3,3,3,3,3,3,-2,2,4,5,4,-4,-3,0,0
