ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 106,EMG1R,0,0,0,-4,4,14,-5,-4,-22,-19,17,6,10,-16,-8,-8,0,-19,-4,-21,-21,-7,-28,-26,-4,-9,14,-10,-14,8,1,-7,-17,-5,12,-8,-2,-4,-1,-4,-9,-4,1,5,-6,0
Action 106,EMG2R,-2,-1,0,-1,2,-1,-13,17,-18,-4,8,-1,4,-7,0,0,28,-3,-14,-16,-14,3,-19,-27,-4,-10,9,0,-17,9,13,6,-11,-5,2,-11,-2,-3,-4,-7,-5,-2,-6,-4,0,0
Action 106,EMG3R,-1,0,-1,-1,3,10,12,5,-7,-10,-1,6,-23,6,-13,27,58,18,-20,0,-12,13,-6,-20,-6,14,15,-6,-8,-12,-12,38,4,0,-1,-9,-1,-8,-2,1,-3,2,0,-2,-1,0
Action 106,EMG4R,0,1,-3,1,4,1,1,-8,-4,0,0,-6,1,-1,-2,13,12,3,-8,0,-8,3,5,-15,2,-2,10,7,3,6,0,11,2,2,1,-5,-2,-5,-2,-2,-3,-3,-7,-5,-3,0
Action 106,EMG5R,0,2,-2,-1,1,1,-8,5,1,-2,-4,-2,1,-1,-1,-3,0,-2,1,1,2,-4,0,-8,-3,1,-1,-1,1,4,0,1,1,0,0,-3,-1,-3,-2,-3,-1,-4,-6,0,-2,0
Action 106,EMG6R,5,1,-8,-1,-2,-2,-10,1,-9,-5,5,0,9,20,-13,-2,2,-11,-4,-3,1,-2,-2,-18,9,-1,0,-8,7,-3,5,7,-1,-16,0,-6,-20,-11,-15,-6,19,-7,-1,10,2,0
Action 106,EMG7R,1,2,-2,-1,-3,-8,-8,2,-7,-8,1,3,5,3,5,2,0,-6,-1,-3,-6,-8,3,-14,-3,-2,-1,4,9,-13,0,2,-3,0,-2,1,0,-5,-4,-2,60,-1,2,6,-1,0
Action 106,GLX,2.4375,-0.375,-1.75,-1.3125,0.8125,2.875,1.375,4.25,-6.875,-0.1875,-1.1875,-2.5,-1.0625,3.8125,3.375,1.9375,1.375,2.3125,-0.375,0.3125,0.625,0.375,1.75,-2.4375,-2,-1.5,-0.9375,0.125,2.9375,1.9375,2.3125,1.3125,-0.6875,2.4375,-0.875,2.125,9.375,14.75,10.375,-0.25,-2.0625,-10.75,-8.1875,-6.5,1.4375,0
Action 106,GLY,2.4375,-0.375,-1.75,-1.3125,0.8125,2.875,1.375,4.25,-6.875,-0.1875,-1.1875,-2.5,-1.0625,3.8125,3.375,1.9375,1.375,2.3125,-0.375,0.3125,0.625,0.375,1.75,-2.4375,-2,-1.5,-0.9375,0.125,2.9375,1.9375,2.3125,1.3125,-0.6875,2.4375,-0.875,2.125,9.375,14.75,10.375,-0.25,-2.0625,-10.75,-8.1875,-6.5,1.4375,0
Action 106,GLZ,2.4375,-0.375,-1.75,-1.3125,0.8125,2.875,1.375,4.25,-6.875,-0.1875,-1.1875,-2.5,-1.0625,3.8125,3.375,1.9375,1.375,2.3125,-0.375,0.3125,0.625,0.375,1.75,-2.4375,-2,-1.5,-0.9375,0.125,2.9375,1.9375,2.3125,1.3125,-0.6875,2.4375,-0.875,2.125,9.375,14.75,10.375,-0.25,-2.0625,-10.75,-8.1875,-6.5,1.4375,0
Action 106,GRX,-10.5,-3.6875,5.25,2.0625,3.6875,-13.3125,-36.6875,11.75,-46.375,1.375,8.8125,24.25,8.9375,11.3125,-9.3125,-11.4375,-9.0625,3.3125,1.625,7.5625,13.625,15.5625,25.0625,22.0625,12.8125,16.875,-6.0625,-8,-5.25,-3.125,-2.125,-1.375,-6.25,-14.625,-6.375,-32.625,-24.25,10.75,1.375,17.3125,38.625,-78,7.9375,27.375,-8.625,0
Action 106,GRY,-10.5,-3.6875,5.25,2.0625,3.6875,-13.3125,-36.6875,11.75,-46.375,1.375,8.8125,24.25,8.9375,11.3125,-9.3125,-11.4375,-9.0625,3.3125,1.625,7.5625,13.625,15.5625,25.0625,22.0625,12.8125,16.875,-6.0625,-8,-5.25,-3.125,-2.125,-1.375,-6.25,-14.625,-6.375,-32.625,-24.25,10.75,1.375,17.3125,38.625,-78,7.9375,27.375,-8.625,0
Action 106,GRZ,-10.5,-3.6875,5.25,2.0625,3.6875,-13.3125,-36.6875,11.75,-46.375,1.375,8.8125,24.25,8.9375,11.3125,-9.3125,-11.4375,-9.0625,3.3125,1.625,7.5625,13.625,15.5625,25.0625,22.0625,12.8125,16.875,-6.0625,-8,-5.25,-3.125,-2.125,-1.375,-6.25,-14.625,-6.375,-32.625,-24.25,10.75,1.375,17.3125,38.625,-78,7.9375,27.375,-8.625,0
